home_ownership,income,dti,fico,loan_status
1,52400,24.64,665,1
1,150000,17.04,785,1
1,100000,20.92,710,1
0,97000,13.11,705,1
1,100000,24.08,685,0
1,76514,12,675,1
1,155000,19.29,700,1
1,86700,34.1,705,0
1,250000,11.47,725,1
0,56000,22.17,685,1
0,74000,16.27,665,1
1,39190,1.56,695,0
1,120000,8.62,665,0
1,110000,13.08,660,1
0,65000,14.68,670,0
1,40600,8.9,780,1
1,28000,12.47,660,0
1,98400,3.16,660,1
1,75000,9.07,700,1
0,154000,15.06,695,1
1,120000,11.06,735,1
1,34000,6.04,670,1
1,60000,18.68,705,0
0,52000,2.15,660,1
1,112000,34.65,675,1
1,150000,13.15,785,1
0,30000,11.75,670,0
0,40000,26.64,700,0
1,89000,12.45,725,1
1,189800,15.35,705,1
0,60000,9.54,695,1
1,82000,19.24,675,1
0,100000,11.17,665,1
0,70000,19.96,660,0
1,76000,20.75,685,1
0,45000,9.04,745,1
0,65000,9.69,675,0
1,115000,17.41,685,1
1,107151.05,1.33,665,1
0,35000,31.24,695,1
0,50000,16.08,660,1
1,75000,19.01,665,0
1,175760,26.25,710,1
0,100000,11.45,695,1
1,149000,17.23,695,1
1,70000,14.33,710,1
0,38000,9.07,695,1
1,90000,12.87,805,1
1,115000,11.52,690,1
0,98000,24.92,680,0
1,58000,35.46,660,1
1,60000,13.6,680,1
0,41500,15.07,660,1
1,180000,8.72,775,1
0,34000,29.58,700,1
1,218000,19.27,680,1
1,72000,17.8,710,1
1,58000,9.54,680,1
0,47000,4.49,700,1
1,80000,24.06,700,1
0,63000,19.75,700,1
1,50000,30.27,670,1
0,105976.21,9.73,705,0
0,60000,26.18,705,0
1,48000,37.05,730,1
1,30000,7.91,780,1
0,35000,16.42,695,1
0,59600,14.56,695,1
1,120000,5.33,755,1
1,76900,26.05,685,1
1,105000,7.97,820,1
1,94000,6.24,835,1
0,52000,22.59,680,1
0,35787,16.1,665,0
1,60000,20.84,740,1
0,70000,16,660,1
1,50000,14.5,690,0
1,49000,23.14,690,1
0,60000,13.81,685,1
0,30000,9.64,675,1
1,28890,21.06,690,1
0,55000,30.5,735,1
1,65000,20.77,685,1
1,104000,25.79,690,1
1,80000,12.19,700,1
1,77876,31.92,690,1
0,64000,21.58,665,1
1,44000,30.47,705,0
0,48000,2.5,660,1
0,50000,26.45,725,1
0,90000,20.76,675,1
1,58000,30.36,690,1
0,35000,4.56,685,1
1,80000,31.95,675,1
0,52500,7.7,675,1
1,148000,20.77,700,0
0,38000,23.34,670,1
0,50000,13.99,670,0
0,65000,15.5,675,0
0,42000,14.54,670,1
1,60000,33.2,740,0
1,140000,15.41,675,1
1,102000,31.91,845,1
1,47000,16.13,685,1
1,90000,5.47,660,1
1,72000,6.9,670,1
0,35000,8.04,715,1
1,59000,13.44,705,1
0,33000,26.74,660,0
1,45000,7.97,770,1
1,65000,27.23,685,0
1,200000,11.87,765,1
1,91200,25.43,675,1
1,30000,17.96,685,1
1,135000,9.64,710,0
1,54282,14.97,740,1
1,93000,16.04,670,1
1,89000,15.53,665,1
1,125000,17.77,690,1
0,37322,13.25,675,1
1,103000,18.63,750,1
1,45149,14.43,790,1
1,65000,2.4,740,1
1,60000,6.94,675,1
0,107000,14.31,690,1
0,63000,16.77,690,0
1,24000,21.65,680,1
0,38600,24.41,675,1
0,85000,13.4,705,0
1,120000,9.47,735,1
0,62000,27.33,680,1
1,60455.9,17.04,685,1
1,62000,15.76,670,0
1,105000,21.81,685,1
0,82000,21.82,740,0
0,45000,10.45,715,1
1,56000,27.97,675,0
1,45000,22.91,685,0
1,60000,23.24,700,0
1,55000,11.03,710,1
1,45000,25.44,730,1
0,210000,7.04,690,1
0,132500,18.01,695,1
0,36000,22.37,690,1
0,120000,16.16,660,1
1,52000,25.41,660,1
0,57000,9.87,670,1
1,55000,31.14,675,1
1,68000,10.73,780,1
0,69000,7.59,730,1
1,103000,11.66,715,1
0,250000,8.72,725,1
0,24000,19.95,660,1
1,240000,16.92,700,1
0,18300,34.93,690,0
0,54000,33.64,690,1
0,57800,17.65,670,1
1,63700,17.41,830,1
0,86000,8.13,685,1
0,25000,27.22,690,1
1,47720,28.8,665,0
1,42000,16.77,715,1
0,48000,30.88,700,0
0,41000,27.66,660,0
0,65000,17.34,725,1
1,56000,12.04,730,1
0,43000,16.02,680,0
1,70000,19.23,660,1
1,141000,10.19,660,1
1,125000,17.17,660,0
1,80000,24.5,680,1
0,80000,18.47,705,1
1,105000,19.33,675,1
1,33886.9,32.91,690,1
1,112000,9.57,755,1
0,90000,16.64,690,1
1,80000,30.55,685,1
1,250000,7.59,805,1
1,65000,18.57,665,1
1,52000,15.42,665,1
0,51521,22.45,675,1
1,53000,30.59,755,1
0,51000,17.25,685,1
1,60000,24.22,765,0
0,40000,13.3,680,1
1,25000,31.16,665,1
1,95256,17.78,665,1
0,39000,19.57,660,0
0,42000,18.76,720,1
1,65000,1.11,705,1
0,85000,5.76,720,1
1,65847,5.01,665,0
0,41600,9.49,680,1
0,40000,33.36,670,0
1,95000,15.28,690,1
0,27000,18.36,680,0
1,61000,10.86,760,1
1,55000,30,775,1
0,152800,12.36,695,0
1,95000,21.49,670,1
1,227000,17.77,665,0
1,120000,9.66,670,1
0,12000,8.9,730,1
1,102000,17.55,725,1
1,60000,26.72,735,1
0,80000,12.06,740,1
0,40000,26.28,680,0
1,35000,1.99,785,1
1,50400,10.04,660,1
1,80800,13.92,670,1
0,41000,29.19,690,1
1,60000,11.62,680,1
1,160000,9.55,670,0
1,70000,20.28,715,0
1,70000,9.14,695,1
1,40000,11.61,715,1
0,35000,29.39,675,1
0,57000,23.66,685,1
0,38000,10.89,700,1
1,80725,20.43,780,1
1,60000,6.6,660,1
1,34000,29.12,670,1
0,47320,11.49,670,1
1,70000,21.36,665,1
0,45000,10.32,700,1
1,86000,11.56,745,1
1,110000,12.78,685,0
0,55300,19.44,675,1
0,36000,13.03,725,0
0,33280,14.42,680,1
0,68000,1.31,690,1
0,50000,15.12,695,0
1,23000,2.61,710,0
0,50000,2.66,760,1
1,38000,27.64,715,1
1,51000,36.64,660,0
1,356000,3.98,700,0
1,99000,32.83,710,1
0,21840,38.79,665,1
0,54000,20.16,705,1
1,68000,31.49,685,0
0,125000,9.93,660,0
0,50000,29.3,685,1
1,168000,8.12,695,1
0,56000,24.52,755,1
1,60000,16.64,670,1
0,68000,34.47,675,1
1,40000,7.26,670,1
1,98000,26.56,690,1
0,55000,10.08,685,1
1,55000,27.12,715,1
1,82000,2.71,670,1
1,52000,15.25,730,1
0,190000,15.71,690,0
1,31000,28.8,665,1
0,120000,5.84,725,1
1,107000,11.96,685,0
1,158000,13.14,660,1
1,120000,15.71,670,1
1,60000,27.08,670,1
0,30000,27.8,695,1
1,70000,20.52,710,1
1,90000,17.39,710,1
1,120000,16.74,715,1
0,89000,8.18,700,1
0,66000,17.82,675,1
1,165000,7.27,690,1
1,102000,13.74,660,1
0,88000,26.41,675,1
1,78000,10.73,710,1
1,65000,18.61,670,1
1,182547,28.13,690,1
1,70000,24.29,695,1
1,75458.13,10.45,705,0
1,100000,17.65,665,1
1,175000,22.71,715,1
1,94000,31.55,675,0
1,88000,10.1,665,0
0,97250,13.46,670,1
0,46000,28.75,695,1
0,80000,4.02,725,1
1,165000,14.61,715,1
0,43000,25.54,685,1
1,150000,22.68,690,1
1,33000,11.16,675,1
1,85000,6.52,675,1
1,46000,27.16,760,1
1,87000,9.85,735,1
0,60000,27.4,765,1
0,120000,12.08,675,1
1,127000,13.59,660,1
0,84000,6.2,660,1
1,30000,2,690,1
0,56000,19.16,695,1
1,57200,32.29,670,1
0,96000,21.5,690,1
1,414000,19.8,720,0
1,135000,10.48,725,1
1,70000,14.88,740,1
0,60000,13.6,740,1
1,28000,28.46,660,0
0,65000,27.6,660,1
1,45000,2.61,665,1
1,15000,25.76,690,1
1,65000,16.67,680,1
