home_ownership,income,dti,fico,loan_status,
1,44304,18.47,690,0,
0,50000,29.62,735,1,
0,64400,16.68,675,1,
0,38500,33.73,660,0,
1,118000,26.66,665,1,
1,43000,20.68,725,1,
0,76000,17.31,685,1,
0,75000,22.34,700,1,
1,156000,13.28,735,1,
1,54000,19,660,0,
0,55000,22,665,1,
0,37200,17.06,705,1,
1,100000,19.24,685,1,
0,73000,21.44,660,1,
1,80000,15.68,725,1,
0,48000,5.69,665,1,
1,60000,33.98,695,0,
0,33000,20.76,680,1,
0,106000,6.23,670,1,
0,56000,14.36,710,1,
0,39354,10.85,685,0,
1,71400,19.38,725,1,
1,72520,20.5,665,0,
1,120000,27.31,665,0,
1,102000,16.14,800,1,
1,91750,11.1,695,1,
1,109000,17.89,705,1,
0,89000,0.38,750,0,
1,135410,39.37,695,0,
0,47000,20.82,680,1,
0,23000,10.28,660,1,
1,19404,13.17,730,1,
1,54000,15.96,705,0,
1,19200,20.38,675,0,
1,125000,32.63,685,1,
0,45000,7.87,695,1,
1,60000,18.58,705,0,
0,33312,29.86,660,1,
0,38000,18.26,705,0,
0,49872,14.56,720,1,
1,90000,16.07,705,0,
0,51000,27.31,730,1,
1,80000,12.95,665,1,
1,40000,25.14,685,1,
1,120000,7.56,705,1,
1,46000,2.53,680,1,
1,70000,11.95,665,1,
1,48000,21.38,740,0,
0,48000,22.45,670,0,
0,135000,14.59,680,1,
1,115000,14.84,690,1,
1,50000,20.23,685,0,
0,66500,18.26,670,1,
0,44000,33.39,680,1,
1,60000,5.16,715,1,
0,74000,19.61,685,0,
0,50000,28.67,660,1,
1,82744,18.1,730,1,
1,66000,22.33,665,1,
0,25000,29.47,680,1,
1,70000,17.48,690,1,
0,43000,30.34,715,1,
1,68000,34.06,680,0,
1,7000,244.6,690,1,
1,45000,30.77,710,1,
0,30000,12.64,725,1,
1,62000,20.62,680,0,
1,59000,13.2,665,1,
0,42000,18.71,680,1,
0,86000,20.23,665,1,
1,52000,11.82,715,0,
0,35000,11.42,725,1,
0,98000,24.44,680,1,
1,103000,10.35,670,1,
1,130000,9.23,710,0,
1,60000,19.63,720,1,
0,21000,8.34,685,1,
1,80000,4.26,740,1,
0,61992,15.91,660,0,
1,150000,17.53,710,1,
1,53674.45,11.47,660,1,
1,60000,27.14,670,1,
1,123528,5.61,815,1,
1,95000,9.55,670,1,
0,29004,9.76,725,1,
0,60000,16.66,675,0,
1,57000,15.43,670,1,
1,20500,17.68,660,1,
1,84000,17.6,690,1,
1,20800,34.16,685,1,
0,104000,18.66,700,1,
0,49000,22.7,680,1,
1,125000,4.1,665,1,
